,Unnamed: 0,date,high,low,open,close,20_MA,50_MA,entry_qaulity,candle_pattern_check,candle_pattern_score,bb_check,bb_score,trend_0,trend_1,trend_score,grad_0,grad_1,grad_score,RSI,RSI_score
3251,3251,2021-06-22 18:40:00,1946.61524921,1942.2,1945.7,1945.9,1924.990997911,1914.4927820994003,,,,,,,,,,,,,
3252,3252,2021-06-22 18:41:00,1949.95855163,1946.9,1946.9,1949.32603496,1926.807299659,1915.4153027986004,,,,,,,,,,,,,
3253,3253,2021-06-22 18:42:00,1951.6,1944.1,1947.95814206,1950.82896854,1929.048520568,1916.3458821694,,,,,,,,,,,,,
3254,3254,2021-06-22 18:43:00,1954.8,1949.9,1951.9,1954.8,1931.5685205680008,1917.2638821694,,,,,,,,,,,,,
3255,3255,2021-06-22 18:44:00,1957.87917748,1950.10587019,1954.8,1954.9,1933.9035205680004,1917.9898821694,,,,,,,,,,,,,
3256,3256,2021-06-22 18:45:00,1954.8,1943.8,1954.8,1943.8,1935.4885205680007,1918.5421924146,,,,,,,,,,,,,
3257,3257,2021-06-22 18:46:00,1948.5,1943.1,1944.5,1945.1,1936.9554310520004,1919.2601924146,,,,,,,,,,,,,
3258,3258,2021-06-22 18:47:00,1947.9,1940.79597889,1944.930588,1940.79597889,1938.1752299965003,1919.9313106946,,,,,,,,,,,,,
3259,3259,2021-06-22 18:48:00,1945.9,1941.69985183,1941.69985183,1945.62784568,1939.6116222805,1920.5816142932003,,,,,,,,,,,,,
3260,3260,2021-06-22 18:49:00,1945.3153436,1940.6,1945.3,1945.3153436,1941.0223894605,1921.2719211652004,,,,,,,,,,,,,
3261,3261,2021-06-22 18:50:00,1944.14030878,1937.45164901,1942.78449936,1939.1,1942.0373894605,1921.9499211652003,,,,,,,,,,,,,
3262,3262,2021-06-22 18:51:00,1941.9,1938.9,1940.18711677,1939.4,1942.6773894605,1922.5239211652,,,,,,,,,,,,,
3263,3263,2021-06-22 18:52:00,1941.98330525,1937.37309492,1938.2,1938.2,1943.0427548685009,1923.1959581774,,,,,,,,,,,,,
3264,3264,2021-06-22 18:53:00,1940.6,1937.1,1937.7,1940.6,1943.0877548685007,1923.9159951896,,,,,,,,,,,,,
3265,3265,2021-06-22 18:54:00,1940.9,1936.0,1940.9,1936.0,1942.8427548685008,1924.5639951896003,,,,,,,,,,,,,
3266,3266,2021-06-22 18:55:00,1936.83071723,1934.1,1935.1,1934.1,1942.8427548685008,1925.2079951896003,,,,,,,,,,,,,
3267,3267,2021-06-22 18:56:00,1936.3,1935.0,1936.28833955,1935.8,1943.1242640865007,1925.8952598744008,,,,,,,,,,,,,
3268,3268,2021-06-22 18:57:00,1937.9,1935.8,1935.8,1936.74032095,1943.4211635185,1926.5480662934,,,,,,,,,,,,,
3269,3269,2021-06-22 18:58:00,1937.9,1936.19794327,1937.9,1937.3,1942.9311635185,1927.2200662934008,,,,,,,,,,,,,
3270,3270,2021-06-22 18:59:00,1940.9,1937.0,1937.0,1938.4,1942.6017246310005,1927.9168552598005,,,,,,,,,,,,,
3271,3271,2021-06-22 19:00:00,1943.61043831,1933.5351039,1939.8,1933.5351039,1941.9834798260003,1928.5855573378003,,,,,,,,,,,,,
3272,3272,2021-06-22 19:01:00,1934.0,1926.69952662,1933.5,1927.06791888,1940.870574022,1929.0329157154,,,,,,,,,,,,,
3273,3273,2021-06-22 19:02:00,1929.9,1924.2,1926.9775226,1927.04435711,1939.6813434505,1929.4318028576004,,,,,,,,,,,,,
3274,3274,2021-06-22 19:03:00,1929.3,1926.1,1926.1,1927.8,1938.3313434505,1929.8758028576,,,,,,,,,,,,,
3275,3275,2021-06-22 19:04:00,1928.97436076,1926.1,1926.95395346,1928.97436076,1937.0350614885,1930.3732900728,,,,,,,,,,,,,
3276,3276,2021-06-22 19:05:00,1930.9,1924.2,1929.9,1924.2,1936.0550614885,1930.6912900728,,,,,,,,,,,,,
3277,3277,2021-06-22 19:06:00,1925.37055056,1921.5,1924.4,1922.16255963,1934.9081894700005,1930.8507750224,,,,,,,,,,,,,
